ADDRESS,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
721 N LA SALLE DR,41.89557507,-87.63254328,"(41.89557507, -87.63254328)",55,37,"4,446",670,11,22
1601 W DIVISION ST,41.90323582,-87.66755407,"(41.90323582, -87.66755407)",4,25,"21,560",518,41,24
4 W 35TH ST,41.83111927,-87.6267791,"(41.83111927, -87.6267791)",40,1,"21,194",25,9,12
4602 N BROADWAY ,41.96547764,-87.65768753,"(41.96547764, -87.65768753)",15,31,"22,616",241,39,37
1550 N DAMEN AVE,41.90967936,-87.67759021,"(41.90967936, -87.67759021)",4,25,"21,560",481,41,24
3060 W 26TH ST,41.84466604,-87.70254001,"(41.84466604, -87.70254001)",57,32,"21,569",261,1,29
3500 W Fillmore,41.86824605,-87.71316125,"(41.86824605, -87.71316125)",30,30,"21,572",98,14,36
25 E CHICAGO AVE,41.89658176,-87.62708766,"(41.89658176, -87.62708766)",6,37,"21,182",626,36,22
Ogden & California,41.86131724,-87.69575486,"(41.86131724, -87.69575486)",57,30,"21,569",16,23,11
944 W ARMITAGE AVE,41.91822458,-87.65272001,"(41.91822458, -87.65272001)",16,68,"21,190",744,34,51
3758 W OGDEN AVE,41.85307985,-87.71965154,"(41.85307985, -87.71965154)",57,30,"21,569",800,14,36
31st & Tripp,41.83681334,-87.7304274,"(41.83681334, -87.7304274)",57,32,"21,569",248,28,14
2650 S CALIFORNIA AVE,41.84323835,-87.69476454,"(41.84323835, -87.69476454)",43,32,"14,920",124,14,29
4020 W 26TH ST,41.84435111,-87.72545519,"(41.84435111, -87.72545519)",57,32,"21,569",194,28,14
